Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#30213|closed|App Services, Mgmt, customer-reported, bug, needs-team-atten|[BUG] AppService GetSiteInstances Throws Invalid URI error|### Library name and version  Azure.ResourceManager.AppService  ### Describe the
#30043|closed|Service Bus, Client, customer-reported, bug, Functions|[Service Bus Extensions] SessionIdleTimeout not being applied for batch function|This option should also work for batch functions. 
#29942|closed|Storage, Service Attention, Client, customer-reported, bug|[BUG] Inconsistent ETag results in Storage Blob SDK GetPropertiesAsync and GetBl|### Library name and version  Azure.Storage.Blobs 12.13.0  ### Describe the 
#29912|closed|ARM, Service Attention, Mgmt, customer-reported, bug|[BUG] ResourceManager: Type Error|### Library name and version  Azure.ResourceManager.Resources 1.2.0  ### Describ
#29742|closed|Storage, Client, customer-reported, bug|[BUG] GetBlobClient or any GetStorageClient causes SAS to be parsed and reordere|### Library name and version  Azure.Storage.Blobs; Azure.Storage.Queues; Azure.S
#29645|closed|ARM, Mgmt, customer-reported, bug, needs-team-attention|[BUG] Azure.ResourceManager.Resources.dll not added to references in .NET Framew|### Library name and version  Azure.ResourceManager.Resources 1.1.0  ### Describ
#29368|closed|Automation, Service Attention, Mgmt, customer-reported, bug|Null argument exception for parameter operationStatusLink when calling some Auto|### Library name and version  Azure.Automation  ### Describe the bug  When calli
#29336|closed|SQL, Mgmt, needs-author-feedback, customer-reported, bug|[BUG] Duplicated tags for Elastic Pools and Servers|### Library name and version  Azure.ResourceManager.Sql 1.0.0-beta.5  ### De
#29245|closed|Storage, Client, bug|[BUG] [Storage] Check if all Storage APIs accept a default/null options bag|### Library name and version  Azure.Storage.Blobs; Azure.Storage.Queues; Azure.S
#29156|closed|Storage, Client, customer-reported, bug, needs-team-attentio|[BUG] BlockBlobClient.Query() not working with empty BlobQueryCsvTextOptions|### Library name and version  Azure.Storage.Blobs  ### Describe the bug  ```   
#29062|closed|Storage, Client, customer-reported, bug, needs-team-attentio|[BUG] AppendBlobClient.AppendBlockFromUri() with no options argument throws Null|### Library name and version  Azure.Storage.Blobs 12.12.0  ### Describe the bug 
#29002|closed|Storage, Client, customer-reported, bug|[BUG] DataLakePathClient.Rename(..) does not pass the SAS when authenticated wit|### Library name and version  Azure.Storage.Blobs, Azure.Storage.DataLake  ### D
#28184|closed|Mgmt, bug|Duplicate package reference in test projects|
#28162|closed|ARM, Mgmt, needs-author-feedback, customer-reported, bug|[BUG] Resource Manager exception when trying to list subscriptions|### Library name and version  Azure.ResourceManager 1.0.0  ### Describe the 
#27692|closed|Storage, Service Attention, Client, customer-reported, bug|[BUG] GetFilesAndDirectories does not enumerate files and directories in lexical|### Library name and version  Azure.Storage.Files.Shares 12.9.0  ### Describ
