Classify each issue. Output EXACTLY one line per issue: NUM|IS_BUG|ROOT_CAUSE|BUG_CAT|SVC_AREA. IS_BUG:yes/no. ROOT_CAUSE:sdk_code_defect/service_behavior/codegen/build_ci/user_error/dependency/not_a_bug. BUG_CAT:serialization/connection_retry/auth/type_error/memory_lifecycle/streaming/platform_compat/error_handling/perf/api_surface/other/none. SVC_AREA:storage/identity/service_bus/event_hubs/openai/core/communication/search/monitor/keyvault/cosmos/app_config/arm_mgmt/ai_ml/other. not_a_bug=deprecation/question/docs/feature. Output ONLY lines.

#9602|closed|bug, Commerce, Service Attention, Mgmt, customer-reported|RateCard (meter_region) needs matching with Locations|Its important to find a way to match the regions from Pricing with the Locations
#9596|closed|bug, Storage, Service Attention, Client, customer-reported|Customer is asserting that V12 Storage SDK has slower performance that V2.1 sdk| Ask from XClient : Provide suggestions towards this concern and whether we hav
#9534|closed|bug, Storage, Client, customer-reported|TLS error when using HTTPS/TLS URL (not permitted for non-TLS protected (non-htt|Ubuntu 19.10 Linux rio-t460p 5.3.0-26-generic #28-Ubuntu SMP Wed Dec 18 05:37:4
#9527|closed|bug, Machine Learning, Service Attention, Client, customer-r|Run's submit_child method creates error|- **Package Name**: azureml-core - **Package Version**: 1.0.72 - **Operating S
#9526|closed|bug, Mgmt, customer-reported, CodeGen|DeprecationWarning over invalid escape sequences.|- **Package Version**: master branch - **Operating System**: Linux - **Python 
#9498|closed|bug, Storage, Service Attention, Client, customer-reported|Cannot make a python connection to ADLS Gen2 storage with DeviceCodeCredential m|Hi I am trying to connect to ADLS Gen2 storage account using one of DSVM with de
#9419|closed|bug, Storage, Docs, Service Attention, Client|Document how to download blob with asynchronous generator|- **Package Name**: azure-storage-blob - **Package Version**: 12.1.0 - **Opera
#9402|closed|bug, Service Bus, Client, customer-reported|ServiceBus AMQP - idle_timeout is not used with NEXT_AVAILABLE session|- **Package Name**: azure-servicebus - **Package Version**: 0.50.2 - **Operati
#9312|closed|bug, App Services, Service Attention, Mgmt, customer-reporte|App Service Plans Missing Number of Workers|This issue was originally opened in the rest-api-specs repo [here](https://githu
#9291|closed|bug, Storage, Service Attention, Client, customer-reported|Network failure on BlobClientService / ContainerService causes hanging|I'm running an app that opens every single file in a container to check it's con
#9227|closed|bug, Service Bus, Client, customer-reported|Outdate HISTORY.md for servicebus |It seems that  azure-sdk-for-python/sdk/servicebus/azure-servicebus/HISTORY.rs
#9191|closed|bug, Service Attention, Client, customer-reported, needs-tea|NewConnectionError from face_client.face.detect_with_stream|Ubuntu 18.04 / Python 3.6.9 I get the following exception `urllib3.exceptions.
#9144|closed|bug, Service Bus, Client, customer-reported|Service Bus: exception during complete()|We are getting the following exception when calling `complete()` on a message r
#9115|closed|bug, Client, customer-reported|Using this through Django gets ReadTimeout|I can run the code locally and it works, but adding it to a Django view causes i
#9074|closed|bug, Authorization, Service Attention, Mgmt, customer-report|Role assignment can't be created because the service principal "doesn't exist"|hi,  I'm having a troublesome issue where I am creating a service principal us
#9059|closed|bug, API Management, Service Attention, Mgmt, customer-repor|No documentation|There is no documentation for azure api management module
#8912|closed|bug, Event Hubs, Client, customer-reported, needs-author-fee|[EventHubs]The current eventhub package 1.3.2 is not compatible with the latest |The latest azure event hub package is [1.3.2](https://pypi.org/project/azure-eve
#8907|closed|bug, Data Factory, Service Attention, Mgmt, customer-reporte|[DataFactory] Python SDK don't retrive parameters on pipelines|The calls to extract the corresponding JSON from the different elements of the d
#8905|closed|bug, Event Hubs, Client, customer-reported, needs-author-fee|The error "blob not found" occurs when receive event data using "event processor|I'm using "event processor host"(follow [this sample code](https://github.com/Az
